mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6.736362059911092,2.699048477794228,1.362939993540446,0.488741006089777,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9800123211718803,0.979052573932092,0.9804901423877328,0.9798516791639017,0.00059777652301894,21,0.9951738773274917,0.9955505356470548,0.9945579628298593,0.9950941252681353,0.00040912141033155864
8.092912515004477,0.19146337035332814,0.9222747484842936,0.25633326992339667,30,2,2,100,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9800123211718803,0.979052573932092,0.9804901423877328,0.9798516791639017,0.00059777652301894,21,0.9951738773274917,0.995516308998186,0.9945579628298593,0.9950827163851791,0.00039651782863583626
13.570089737574259,0.5184320552967102,1.567091464996338,0.13214350015169657,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9802861249914436,0.9787787513691129,0.9804216867469879,0.9798288543691814,0.0007445945117786802,23,0.994934282584885,0.9954136290515796,0.9943868295855153,0.9949115804073266,0.00041949638657713803
8.816509008407593,0.5876807467070013,1.565995693206787,0.2996800595698697,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9800123211718803,0.9785049288061336,0.9809008762322016,0.9798060420700718,0.0009889571335511688,24,0.9943181818181818,0.9943183762877776,0.9936680699592703,0.9941015426884099,0.0003065115165160181
7.917416254679362,0.7338763445668627,0.761584997177124,0.11035257798944224,30,2,5,100,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9800123211718803,0.9785049288061336,0.9809008762322016,0.9798060420700718,0.0009889571335511688,24,0.9943181818181818,0.9943183762877776,0.9936680699592703,0.9941015426884099,0.0003065115165160181
7.886199712753296,1.1890176390830418,0.44482024510701496,0.2013173667887418,30,2,5,200,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9799438702169895,0.9789156626506024,0.9804216867469879,0.9797604065381932,0.0006283689658162989,26,0.994249726177437,0.9944895095321217,0.9936680699592703,0.9941357685562764,0.00034489660047327324
13.771563132603964,1.6371757733333805,2.252533753712972,0.4902046072004408,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9799438702169895,0.9789156626506024,0.9804216867469879,0.9797604065381932,0.0006283689658162989,26,0.994249726177437,0.9944895095321217,0.9936680699592703,0.9941357685562764,0.00034489660047327324
5.534038623174031,1.2600382224803968,0.6846044858296713,0.14870525928075948,20,2,2,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9802861249914436,0.9785049288061336,0.9804901423877328,0.9797603987284367,0.0008916499009711985,28,0.9949000547645126,0.995139815860629,0.9943183762877776,0.9947860823043064,0.0003448990521158935
5.004743496576945,1.2766348252127642,0.5835978984832764,0.09540565808868968,20,2,5,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9798754192620988,0.9787787513691129,0.9804216867469879,0.9796919524593998,0.0006831565046350656,29,0.9937020810514786,0.9941472430434336,0.9935653900126639,0.9938049047025254,0.0002484186852404902
6.44572917620341,1.4055464771461592,0.8350521723429362,0.081314658136362,30,2,2,50,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9795331644876446,0.9784364731653888,0.9810377875136911,0.9796691417222414,0.0010663259166931549,30,0.9950027382256298,0.9950713625628914,0.9945921894787282,0.9948887634224164,0.00021157252967916748
3.065718332926432,0.17572444350688776,0.7004599571228027,0.17779328786021528,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9795331644876446,0.9784364731653888,0.9810377875136911,0.9796691417222414,0.0010663259166931549,30,0.9950027382256298,0.9950713625628914,0.9945921894787282,0.9948887634224164,0.00021157252967916748
4.1408766110738116,0.4032384994447325,0.49021585782368976,0.10347564219091708,,2,5,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9796016154425354,0.9788472070098576,0.9804901423877328,0.9796463216133753,0.0006714701012216119,32,0.9941128148959474,0.9945579628298593,0.9935996166615326,0.9940901314624465,0.0003915718309609391
4.699317852656047,0.8072083266371592,0.821644147237142,0.14264828624561296,30,2,5,50,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9796016154425354,0.9788472070098576,0.9804901423877328,0.9796463216133753,0.0006714701012216119,32,0.9941128148959474,0.9945921894787282,0.9935996166615326,0.9941015403454028,0.00040529457268869665
13.014286200205484,1.1467872429865755,2.367610057195028,0.10277286459454688,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9798069683072079,0.9789841182913472,0.9801478641840088,0.9796463169275214,0.0004884893550652289,34,0.9941812705366923,0.994421056234384,0.9935653900126639,0.99405590559458,0.00036039649210401273
7.529884894688924,0.32412710141601425,0.9222973982493082,0.19569543174348075,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9798754192620988,0.9785049288061336,0.9805585980284776,0.97964631536557,0.0008539148143518034,35,0.995105421686747,0.9952767224561043,0.9944552828832529,0.9949458090087013,0.0003538341402467531
7.891167879104614,0.7707279228476556,0.9620189666748047,0.19841865792395427,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9800123211718803,0.978710295728368,0.9800794085432639,0.9796006751478373,0.0006301887610395345,36,0.9940785870755751,0.9943183762877776,0.9936338433104015,0.9940102688912514,0.00028360404323730644
